mac_model,device,inference_time_ms
M2 Pro,GPU,1399.3299007415771
M2 Pro,GPU,1188.929796218872
M2 Pro,GPU,1244.591236114502
M1 Pro,GPU,3241.5568828582764
M1 Pro,GPU,2798.4988689422607
M1 Pro,GPU,3138.702154159546
