mac_model,device,inference_time_ms
M2 Pro,GPU,681.8411350250244
M2 Pro,GPU,144.9737548828125
M2 Pro,GPU,142.8048610687256

M1 Pro,GPU,121.62184715270996
M1 Pro,GPU,126.32083892822266
M1 Pro,GPU,126.3580322265625
