mac_model,device,inference_time_ms
M2 Pro,CPU,108.92915725708008
M2 Pro,CPU,106.99081420898438
M2 Pro,CPU,105.69906234741211

M1 Pro,CPU,115.67997932434082
M1 Pro,CPU,109.28177833557129
M1 Pro,CPU,111.24992370605469
