mac_model,device,inference_time_ms
M2 Pro,GPU,1102.2601127624512
M2 Pro,GPU,235.3348731994629
M2 Pro,GPU,236.13214492797852

M1 Pro,GPU,115.36717414855957
M1 Pro,GPU,111.11593246459961
M1 Pro,GPU,115.79489707946777
